"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"参数化验证进行额度审批接口。","0","test_submit_amount_verify[submit_amount_verify_wrong_valicode]","tests","Wed Apr 22 17:02:24 CST 2026","passed","Wed Apr 22 17:02:24 CST 2026","","test_13_submit_amount_verify","",""
"参数化验证获取短信验证码接口。","0","test_send_sms[send_sms_wrong_img_verify_code]","tests","Wed Apr 22 17:01:34 CST 2026","passed","Wed Apr 22 17:01:34 CST 2026","","test_02_send_sms","",""
"参数化验证打开额度审批页面接口。","1","test_open_amount_verify_page[open_amount_verify_page_success]","tests","Wed Apr 22 17:02:12 CST 2026","passed","Wed Apr 22 17:02:12 CST 2026","","test_12_open_amount_verify_page","",""
"参数化验证是否登录接口。","1","test_is_login[is_login_success]","tests","Wed Apr 22 17:01:37 CST 2026","passed","Wed Apr 22 17:01:37 CST 2026","","test_05_is_login","",""
"参数化验证获取注册图片验证码接口。","0","test_get_register_image_code[get_register_image_code_success]","tests","Wed Apr 22 17:01:34 CST 2026","passed","Wed Apr 22 17:01:34 CST 2026","","test_01_get_register_image_code","",""
"参数化验证获取认证信息接口。","0","test_get_approve_info[get_approve_info_success]","tests","Wed Apr 22 17:01:40 CST 2026","passed","Wed Apr 22 17:01:40 CST 2026","","test_07_get_approve_info","",""
"参数化验证后台登录接口。","0","test_admin_login[admin_login_wrong_password]","tests","Wed Apr 22 17:01:58 CST 2026","passed","Wed Apr 22 17:01:58 CST 2026","","test_10_admin_login","",""
"参数化验证搜索额度申请列表接口。","0","test_search_amount_apply_list[search_amount_apply_list_success]","tests","Wed Apr 22 17:02:09 CST 2026","passed","Wed Apr 22 17:02:09 CST 2026","","test_11_search_amount_apply_list","",""
"参数化验证实名认证接口。","0","test_approve_realname[approve_realname_success]","tests","Wed Apr 22 17:01:38 CST 2026","passed","Wed Apr 22 17:01:38 CST 2026","","test_06_approve_realname","",""
"参数化验证申请额度接口。","0","test_apply_amount[apply_amount_success]","tests","Wed Apr 22 17:01:45 CST 2026","passed","Wed Apr 22 17:01:45 CST 2026","","test_09_apply_amount","",""
"参数化验证获取短信验证码接口。","0","test_send_sms[send_sms_success]","tests","Wed Apr 22 17:01:34 CST 2026","passed","Wed Apr 22 17:01:34 CST 2026","","test_02_send_sms","",""
"参数化验证查看额度申请记录接口。","0","test_get_amount_apply_log[get_amount_apply_log_success]","tests","Wed Apr 22 17:02:29 CST 2026","passed","Wed Apr 22 17:02:29 CST 2026","","test_14_get_amount_apply_log","",""
"参数化验证开户接口。","0","test_open_account[open_account_success]","tests","Wed Apr 22 17:01:42 CST 2026","passed","Wed Apr 22 17:01:42 CST 2026","","test_08_open_account","",""
"参数化验证实名认证接口。","0","test_approve_realname[approve_realname_without_login]","tests","Wed Apr 22 17:01:39 CST 2026","passed","Wed Apr 22 17:01:39 CST 2026","","test_06_approve_realname","",""
"参数化验证注册接口。","1","test_register[register_wrong_phone_code]","tests","Wed Apr 22 17:01:35 CST 2026","passed","Wed Apr 22 17:01:35 CST 2026","","test_03_register","",""
"参数化验证是否登录接口。","0","test_is_login[is_login_without_login]","tests","Wed Apr 22 17:01:37 CST 2026","passed","Wed Apr 22 17:01:37 CST 2026","","test_05_is_login","",""
"参数化验证登录接口。","1","test_login[login_wrong_password]","tests","Wed Apr 22 17:01:36 CST 2026","passed","Wed Apr 22 17:01:36 CST 2026","","test_04_login","",""
"参数化验证进行额度审批接口。","0","test_submit_amount_verify[submit_amount_verify_success]","tests","Wed Apr 22 17:02:18 CST 2026","passed","Wed Apr 22 17:02:18 CST 2026","","test_13_submit_amount_verify","",""
"参数化验证申请额度接口。","0","test_apply_amount[apply_amount_wrong_verify_code]","tests","Wed Apr 22 17:01:49 CST 2026","passed","Wed Apr 22 17:01:49 CST 2026","","test_09_apply_amount","",""
"参数化验证后台登录接口。","0","test_admin_login[admin_login_success]","tests","Wed Apr 22 17:01:52 CST 2026","passed","Wed Apr 22 17:01:52 CST 2026","","test_10_admin_login","",""
"参数化验证注册接口。","0","test_register[register_success]","tests","Wed Apr 22 17:01:35 CST 2026","passed","Wed Apr 22 17:01:35 CST 2026","","test_03_register","",""
"参数化验证登录接口。","0","test_login[login_success]","tests","Wed Apr 22 17:01:36 CST 2026","passed","Wed Apr 22 17:01:36 CST 2026","","test_04_login","",""
